"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"john fogerty","500+","April 24, 2025 at 4:50:00 PM UTC-6","April 24, 2025 at 5:50:00 PM UTC-6","john fogerty","https://trends.google.com/trends/explore?q=john%20fogerty&geo=US&hl=en"
"pima county fair","500+","April 24, 2025 at 6:00:00 PM UTC-6","April 24, 2025 at 6:30:00 PM UTC-6","pima county fair","https://trends.google.com/trends/explore?q=pima%20county%20fair&geo=US&hl=en"
"lisa rinna","500+","April 24, 2025 at 1:30:00 AM UTC-6","April 24, 2025 at 6:10:00 AM UTC-6","lisa rinna","https://trends.google.com/trends/explore?q=lisa%20rinna&geo=US&hl=en"
"the masked singer season 13 nessy","1K+","April 24, 2025 at 12:10:00 AM UTC-6","April 24, 2025 at 2:40:00 AM UTC-6","the masked singer season 13 nessy,masked singer","https://trends.google.com/trends/explore?q=the%20masked%20singer%20season%2013%20nessy&geo=US&hl=en"
"all things go nyc","1K+","April 24, 2025 at 7:50:00 AM UTC-6","April 24, 2025 at 9:20:00 AM UTC-6","all things go nyc","https://trends.google.com/trends/explore?q=all%20things%20go%20nyc&geo=US&hl=en"
"today show","1K+","April 24, 2025 at 6:40:00 AM UTC-6","April 24, 2025 at 8:40:00 AM UTC-6","today show","https://trends.google.com/trends/explore?q=today%20show&geo=US&hl=en"
"demi moore","500+","April 24, 2025 at 4:40:00 AM UTC-6","April 24, 2025 at 6:30:00 AM UTC-6","demi moore","https://trends.google.com/trends/explore?q=demi%20moore&geo=US&hl=en"
"chris hughes","1K+","April 24, 2025 at 5:20:00 AM UTC-6","April 24, 2025 at 6:40:00 AM UTC-6","chris hughes","https://trends.google.com/trends/explore?q=chris%20hughes&geo=US&hl=en"
"warren zeiders","500+","April 24, 2025 at 4:50:00 AM UTC-6","April 24, 2025 at 8:20:00 AM UTC-6","warren zeiders","https://trends.google.com/trends/explore?q=warren%20zeiders&geo=US&hl=en"
"jelly roll","1K+","April 24, 2025 at 5:30:00 AM UTC-6","April 24, 2025 at 6:10:00 AM UTC-6","jelly roll","https://trends.google.com/trends/explore?q=jelly%20roll&geo=US&hl=en"
"john travolta","1K+","April 23, 2025 at 9:10:00 PM UTC-6","April 24, 2025 at 12:00:00 AM UTC-6","john travolta","https://trends.google.com/trends/explore?q=john%20travolta&geo=US&hl=en"
"clinton kelly","500+","April 24, 2025 at 6:30:00 AM UTC-6","April 24, 2025 at 7:40:00 AM UTC-6","clinton kelly,stacy london","https://trends.google.com/trends/explore?q=clinton%20kelly&geo=US&hl=en"
"hugh jackman","500+","April 24, 2025 at 6:40:00 AM UTC-6","April 24, 2025 at 7:50:00 AM UTC-6","hugh jackman","https://trends.google.com/trends/explore?q=hugh%20jackman&geo=US&hl=en"
"p diddy","500+","April 24, 2025 at 4:00:00 AM UTC-6","April 24, 2025 at 7:40:00 AM UTC-6","p diddy","https://trends.google.com/trends/explore?q=p%20diddy&geo=US&hl=en"
"danny ricker","500+","April 23, 2025 at 10:20:00 PM UTC-6","April 24, 2025 at 2:30:00 AM UTC-6","danny ricker","https://trends.google.com/trends/explore?q=danny%20ricker&geo=US&hl=en"
"elton john","500+","April 23, 2025 at 10:10:00 PM UTC-6","April 23, 2025 at 11:10:00 PM UTC-6","elton john","https://trends.google.com/trends/explore?q=elton%20john&geo=US&hl=en"
